Epoch,Phase,Iteration,Accuracy,Loss
2,Training,400,0.89921875,0.002708671923798427
2,Val,400,0.8949107142857143,0.0027965580539617138
3,Training,800,0.935859375,0.001695653423115341
3,Val,800,0.9314285714285714,0.0018800967311898354
4,Training,1200,0.95171875,0.0012971761707403374
4,Val,1200,0.9472321428571429,0.0013907487499739105
5,Training,1600,0.9634375,0.0009977387809915585
5,Val,1600,0.9555357142857143,0.001198507714338958
6,Training,2000,0.97003125,0.0008056869963026215
6,Val,2000,0.9604464285714286,0.0010115985465154727
7,Training,2400,0.974375,0.0006802555583367268
7,Val,2400,0.9608035714285714,0.0009870131211637356
8,Training,2800,0.97875,0.000561798505894269
8,Val,2800,0.966875,0.0008367298214558427
10,Training,3200,0.9840625,0.0004456954712959072
10,Val,3200,0.9680357142857143,0.0008095330983481014
11,Training,3600,0.988125,0.00035773143931068263
11,Val,3600,0.9680357142857143,0.0007886310746860809
12,Training,4000,0.9890104166666667,0.0002936530789955974
12,Val,4000,0.9695535714285715,0.0007615960453342654
13,Training,4400,0.9917578125,0.00024250958794097977
13,Val,4400,0.9713392857142857,0.0007269151525163152
14,Training,4800,0.9928125,0.00021350413819089042
14,Val,4800,0.9708928571428571,0.0007475834078703608
15,Training,5200,0.9940885416666667,0.0001934460001337492
15,Val,5200,0.971875,0.0007560536883785424
16,Training,5600,0.9954241071428571,0.00016006659395405464
16,Val,5600,0.9725,0.0007059762303960142
18,Training,6000,0.99765625,0.00011310106553699316
18,Val,6000,0.9736607142857143,0.0006990387307336409
19,Training,6400,0.998125,9.812007945832747e-05
19,Val,6400,0.971875,0.0007353769331624706
20,Training,6800,0.9986458333333333,8.384401605724441e-05
20,Val,6800,0.9741071428571428,0.0007099652080366596
21,Training,7200,0.99921875,6.606136579446678e-05
21,Val,7200,0.9740178571428572,0.0007376583430838461
22,Training,7600,0.99925,6.270108612572932e-05
22,Val,7600,0.9734821428571429,0.0007252023363251736
23,Training,8000,0.9993229166666666,5.4823051874142114e-05
23,Val,8000,0.9744642857142857,0.0007038229349429889
24,Training,8400,0.99953125,4.8451702070938055e-05
24,Val,8400,0.9741964285714285,0.0007209656506569293
26,Training,8800,0.9996875,3.8253617029968225e-05
26,Val,8800,0.9750892857142858,0.0007323971268493405
27,Training,9200,0.999921875,3.446053597797243e-05
27,Val,9200,0.97375,0.0007258596745785368
28,Training,9600,0.99984375,2.841244661566653e-05
28,Val,9600,0.9747321428571428,0.0007390286814902668
29,Training,10000,0.9999609375,2.5950890048896378e-05
29,Val,10000,0.9746428571428571,0.000742687658756446
30,Training,10400,0.9999375,2.5209986858760094e-05
30,Val,10400,0.9748214285714286,0.0007496613965774352
